x y vx vy mass charge
-7.25349 -16.3413 0.00212784 0.001803 1 0.02
-13.5113 -7.11552 0.00107205 -0.00303712 1 0.02
-9.20104 -5.2588 -0.00256986 -0.00587506 1 0.02
-7.64646 -9.77965 -0.00322251 0.00053588 1 0.02
-5.10148 -16.2225 -0.00118711 0.000543373 1 0.02
-6.59123 -9.7645 0.00115906 0.00237058 1 0.02
-8.14327 -5.25157 -0.00167119 -0.0037783 1 0.02
-6.07536 -10.6688 0.00178703 -0.000256168 1 0.02
-3.98525 -12.4817 -0.00508971 0.00452268 1 0.02
-2.41047 -13.3871 -0.00143246 -0.000575268 1 0.02
-4.52369 -13.4091 0.00184949 0.00113347 1 0.02
-6.09649 -12.5089 0.00294392 -0.00114591 1 0.02
0.220311 -14.3025 -0.00211816 -5.49877e-05 1 0.02
-0.826859 -7.02083 -0.00392581 0.00156098 1 0.02
-2.39556 -9.73083 -0.000475383 0.00283781 1 0.02
2.89123 -17.1492 0.000941619 0.00251226 1 0.02
4.94138 -11.5714 -1.49767e-05 0.00677416 1 0.02
3.37043 -12.4738 -0.00354006 0.00278323 1 0.02
3.87874 -9.74197 -0.00249783 -0.00475573 1 0.02
6.56434 -14.3843 0.00130855 0.00444068 1 0.02
11.8003 -7.104 -0.0031446 0.0028035 1 0.02
8.07121 -7.9653 0.000773806 0.00215286 1 0.02
11.3347 -11.7173 0.00327869 0.00120381 1 0.02
10.7791 -10.765 -0.00551486 -0.000428664 1 0.02
-10.3594 -12.6183 -0.000686667 0.00316793 1 0.02
-9.73924 -6.16568 0.00330076 0.00215695 1 0.02
-8.14 -3.45402 0.00102103 0.00235928 1 0.02
-9.77312 -9.81263 -0.00154815 -0.000459344 1 0.02
-7.63405 -7.95845 0.00178317 0.00242385 1 0.02
-5.53154 -7.93954 0.00113853 0.00027873 1 0.02
-7.1288 -10.6862 -0.00417292 0.00028743 1 0.02
-2.92159 -10.6446 -0.00197232 -0.00118407 1 0.02
-0.83212 -12.4617 0.000610053 -0.000731205 1 0.02
-3.97087 -10.6513 -0.000113042 0.000276041 1 0.02
-5.01133 -8.84143 -0.000571735 -0.000204955 1 0.02
1.2625 -10.6372 -0.000368763 -0.000815234 1 0.02
-4.00222 -14.3283 0.0057082 -0.000749177 1 0.02
2.31951 -12.4658 -0.0033115 0.00180752 1 0.02
0.740502 -11.5465 0.000499682 0.00407955 1 0.02
4.40833 -10.6553 0.00113681 0.00169936 1 0.02
5.02355 -17.2235 0.00198306 0.00236669 1 0.02
3.90554 -13.401 0.00096398 0.00237921 1 0.02
4.95931 -13.4186 -0.0010148 -0.0031412 1 0.02
6.51314 -10.6781 0.00369202 0.0050813 1 0.02
4.399 -8.83774 0.000274106 0.00273974 1 0.02
7.53268 -7.05669 0.00468411 -0.0040932 1 0.02
9.67526 -8.89736 0.00178344 -7.46952e-05 1 0.02
10.2231 -9.82689 -0.00361611 0.00426537 1 0.02
13.4185 -6.20413 0.000914446 0.00417602 1 0.02
-12.4783 -10.809 -0.000721284 0.00735638 1 0.02
-10.8454 -9.83225 0.000593375 0.00256786 1 0.02
-11.3492 -7.08855 -0.000764518 0.00121125 1 0.02
-10.2647 -5.26673 0.000484598 0.00115701 1 0.02
