x y vx vy charge mass
-7.5 -7.5 0 0 -0.05 1
-7.5 7.5 0 0 0.05 1
7.5 -7.5 0 0 -0.05 1
7.5 7.5 0 0 0.05 1
-7.5 -8.5 0 0 -0.05 1
-7.5 8.5 0 0 0.05 1
7.5 -8.5 0 0 -0.05 1
7.5 8.5 0 0 0.05 1
-7.5 -9.5 0 0 -0.05 1
-7.5 9.5 0 0 0.05 1
7.5 -9.5 0 0 -0.05 1
7.5 9.5 0 0 0.05 1
-8.5 -0.5 0 0 -0.05 1
-8.5 0.5 0 0 0.05 1
8.5 -0.5 0 0 -0.05 1
8.5 0.5 0 0 0.05 1
-8.5 -1.5 0 0 -0.05 1
-8.5 1.5 0 0 0.05 1
8.5 -1.5 0 0 -0.05 1
8.5 1.5 0 0 0.05 1
-8.5 -2.5 0 0 -0.05 1
-8.5 2.5 0 0 0.05 1
8.5 -2.5 0 0 -0.05 1
8.5 2.5 0 0 0.05 1
-8.5 -3.5 0 0 -0.05 1
-8.5 3.5 0 0 0.05 1
8.5 -3.5 0 0 -0.05 1
8.5 3.5 0 0 0.05 1
-8.5 -4.5 0 0 -0.05 1
-8.5 4.5 0 0 0.05 1
8.5 -4.5 0 0 -0.05 1
8.5 4.5 0 0 0.05 1
-8.5 -5.5 0 0 -0.05 1
-8.5 5.5 0 0 0.05 1
8.5 -5.5 0 0 -0.05 1
8.5 5.5 0 0 0.05 1
-8.5 -6.5 0 0 -0.05 1
-8.5 6.5 0 0 0.05 1
8.5 -6.5 0 0 -0.05 1
8.5 6.5 0 0 0.05 1
-8.5 -7.5 0 0 -0.05 1
-8.5 7.5 0 0 0.05 1
8.5 -7.5 0 0 -0.05 1
8.5 7.5 0 0 0.05 1
-8.5 -8.5 0 0 -0.05 1
-8.5 8.5 0 0 0.05 1
8.5 -8.5 0 0 -0.05 1
8.5 8.5 0 0 0.05 1
-8.5 -9.5 0 0 -0.05 1
-8.5 9.5 0 0 0.05 1
8.5 -9.5 0 0 -0.05 1
8.5 9.5 0 0 0.05 1
-9.5 -0.5 0 0 -0.05 1
-9.5 0.5 0 0 0.05 1
9.5 -0.5 0 0 -0.05 1
9.5 0.5 0 0 0.05 1
-9.5 -1.5 0 0 -0.05 1
-9.5 1.5 0 0 0.05 1
9.5 -1.5 0 0 -0.05 1
9.5 1.5 0 0 0.05 1
-9.5 -2.5 0 0 -0.05 1
-9.5 2.5 0 0 0.05 1
9.5 -2.5 0 0 -0.05 1
9.5 2.5 0 0 0.05 1
-9.5 -3.5 0 0 -0.05 1
-9.5 3.5 0 0 0.05 1
9.5 -3.5 0 0 -0.05 1
9.5 3.5 0 0 0.05 1
-9.5 -4.5 0 0 -0.05 1
-9.5 4.5 0 0 0.05 1
9.5 -4.5 0 0 -0.05 1
9.5 4.5 0 0 0.05 1
-9.5 -5.5 0 0 -0.05 1
-9.5 5.5 0 0 0.05 1
9.5 -5.5 0 0 -0.05 1
9.5 5.5 0 0 0.05 1
-9.5 -6.5 0 0 -0.05 1
-9.5 6.5 0 0 0.05 1
9.5 -6.5 0 0 -0.05 1
9.5 6.5 0 0 0.05 1
-9.5 -7.5 0 0 -0.05 1
-9.5 7.5 0 0 0.05 1
9.5 -7.5 0 0 -0.05 1
9.5 7.5 0 0 0.05 1
-9.5 -8.5 0 0 -0.05 1
-9.5 8.5 0 0 0.05 1
9.5 -8.5 0 0 -0.05 1
9.5 8.5 0 0 0.05 1
-9.5 -9.5 0 0 -0.05 1
-9.5 9.5 0 0 0.05 1
9.5 -9.5 0 0 -0.05 1
9.5 9.5 0 0 0.05 1
-10.5 -0.5 0 0 -0.05 1
-10.5 0.5 0 0 0.05 1
10.5 -0.5 0 0 -0.05 1
10.5 0.5 0 0 0.05 1
-10.5 -1.5 0 0 -0.05 1
-10.5 1.5 0 0 0.05 1
10.5 -1.5 0 0 -0.05 1
10.5 1.5 0 0 0.05 1
-10.5 -2.5 0 0 -0.05 1
-10.5 2.5 0 0 0.05 1
10.5 -2.5 0 0 -0.05 1
10.5 2.5 0 0 0.05 1
-10.5 -3.5 0 0 -0.05 1
-10.5 3.5 0 0 0.05 1
10.5 -3.5 0 0 -0.05 1
10.5 3.5 0 0 0.05 1
-10.5 -4.5 0 0 -0.05 1
-10.5 4.5 0 0 0.05 1
10.5 -4.5 0 0 -0.05 1
10.5 4.5 0 0 0.05 1
-10.5 -5.5 0 0 -0.05 1
-10.5 5.5 0 0 0.05 1
10.5 -5.5 0 0 -0.05 1
10.5 5.5 0 0 0.05 1
-10.5 -6.5 0 0 -0.05 1
-10.5 6.5 0 0 0.05 1
10.5 -6.5 0 0 -0.05 1
10.5 6.5 0 0 0.05 1
-10.5 -7.5 0 0 -0.05 1
-10.5 7.5 0 0 0.05 1
10.5 -7.5 0 0 -0.05 1
10.5 7.5 0 0 0.05 1
-10.5 -8.5 0 0 -0.05 1
-10.5 8.5 0 0 0.05 1
10.5 -8.5 0 0 -0.05 1
10.5 8.5 0 0 0.05 1
-10.5 -9.5 0 0 -0.05 1
-10.5 9.5 0 0 0.05 1
10.5 -9.5 0 0 -0.05 1
10.5 9.5 0 0 0.05 1
-11.5 -0.5 0 0 -0.05 1
-11.5 0.5 0 0 0.05 1
11.5 -0.5 0 0 -0.05 1
11.5 0.5 0 0 0.05 1
-11.5 -1.5 0 0 -0.05 1
-11.5 1.5 0 0 0.05 1
11.5 -1.5 0 0 -0.05 1
11.5 1.5 0 0 0.05 1
-11.5 -2.5 0 0 -0.05 1
-11.5 2.5 0 0 0.05 1
11.5 -2.5 0 0 -0.05 1
11.5 2.5 0 0 0.05 1
-11.5 -3.5 0 0 -0.05 1
-11.5 3.5 0 0 0.05 1
11.5 -3.5 0 0 -0.05 1
11.5 3.5 0 0 0.05 1
-11.5 -4.5 0 0 -0.05 1
-11.5 4.5 0 0 0.05 1
11.5 -4.5 0 0 -0.05 1
11.5 4.5 0 0 0.05 1
-11.5 -5.5 0 0 -0.05 1
-11.5 5.5 0 0 0.05 1
11.5 -5.5 0 0 -0.05 1
11.5 5.5 0 0 0.05 1
-11.5 -6.5 0 0 -0.05 1
-11.5 6.5 0 0 0.05 1
11.5 -6.5 0 0 -0.05 1
11.5 6.5 0 0 0.05 1
-11.5 -7.5 0 0 -0.05 1
-11.5 7.5 0 0 0.05 1
11.5 -7.5 0 0 -0.05 1
11.5 7.5 0 0 0.05 1
-11.5 -8.5 0 0 -0.05 1
-11.5 8.5 0 0 0.05 1
11.5 -8.5 0 0 -0.05 1
11.5 8.5 0 0 0.05 1
-11.5 -9.5 0 0 -0.05 1
-11.5 9.5 0 0 0.05 1
11.5 -9.5 0 0 -0.05 1
11.5 9.5 0 0 0.05 1
-12.5 -0.5 0 0 -0.05 1
-12.5 0.5 0 0 0.05 1
12.5 -0.5 0 0 -0.05 1
12.5 0.5 0 0 0.05 1
-12.5 -1.5 0 0 -0.05 1
-12.5 1.5 0 0 0.05 1
12.5 -1.5 0 0 -0.05 1
12.5 1.5 0 0 0.05 1
-12.5 -2.5 0 0 -0.05 1
-12.5 2.5 0 0 0.05 1
12.5 -2.5 0 0 -0.05 1
12.5 2.5 0 0 0.05 1
-12.5 -3.5 0 0 -0.05 1
-12.5 3.5 0 0 0.05 1
12.5 -3.5 0 0 -0.05 1
12.5 3.5 0 0 0.05 1
-12.5 -4.5 0 0 -0.05 1
-12.5 4.5 0 0 0.05 1
12.5 -4.5 0 0 -0.05 1
12.5 4.5 0 0 0.05 1
-12.5 -5.5 0 0 -0.05 1
-12.5 5.5 0 0 0.05 1
12.5 -5.5 0 0 -0.05 1
12.5 5.5 0 0 0.05 1
-12.5 -6.5 0 0 -0.05 1
-12.5 6.5 0 0 0.05 1
12.5 -6.5 0 0 -0.05 1
12.5 6.5 0 0 0.05 1
-12.5 -7.5 0 0 -0.05 1
-12.5 7.5 0 0 0.05 1
12.5 -7.5 0 0 -0.05 1
12.5 7.5 0 0 0.05 1
-12.5 -8.5 0 0 -0.05 1
-12.5 8.5 0 0 0.05 1
12.5 -8.5 0 0 -0.05 1
12.5 8.5 0 0 0.05 1
-12.5 -9.5 0 0 -0.05 1
-12.5 9.5 0 0 0.05 1
